"id","userReviewSeries","userReviewOnlyContent","userRatingSeries","userRatingValue","businessReplied","businessReplyContent","userReviewContent","LowAvgHighCost","businessType","cityState","friends","reviews","photos","eliteStatus","userName","Date","userBusinessPhotos","userCheckIns","weekday","the","and","for.","have","that","they","this","you","not","but","good","with","the_ratios","and_ratios","for_ratios","have_ratios","that_ratios","they_ratios","this_ratios","you_ratios","not_ratios","but_ratios","good_ratios","with_ratios","maxVote","votedRating","Rating","finalPrediction","CorrectPrediction","actualRatingValue"
1,"mostRecentVisit_review"," What a wonderful way to start the year! This was my second time back to HIGH END SPA, and we had a great time. The crowds were very low (seriously, it felt like we had the place to ourselves most of the day.) We walked right into the mineral baths, club mud, and didn't wait in any kind of line for lunch. None of the pools were crowded, and we were even able to enjoy one of the hammocks in the secret garden.

Tiffany at the front check-in desk went above and beyond for us regarding the robes. I had requested a plus-sized robe, since after my last review I knew they had added some to their collection. Unfortunately, all of their plus-sized robes were still dirty from the day before. Tiffany was so accommodating, though! She was able to get us robes from the cabana area that fit me perfectly! It is so great to know that not only do they now offer guests of all sizes the option to enjoy a warm robe, but that they really want to make sure you have a good day. Thank you, Tiffany, for everything.

All of the staff today were in good spirits. The only thing that would have made today better would have been a massage. We'll have to book one next time. My husband and I are going to make HIGH END SPA our annual New Year's Day tradition!

","mostRecentVisit_rating",5,"yes"," Amber P. of HIGH END SPA Hot Springs

Business Customer Service

1/2/20191/15/2018-
Hi Michelle, HIGH END SPA is proud to welcome men and women of all shapes and sizes. In response to your day, we are now in the process of ordering a few XL robes so we can continue to have offerings for all of our guests.  I wanted to reach out to you to let you know we have sent you a private message as we would like to connect with you directly. Thank you again for communicating your concern with us.
Alexa Gallegos

1/2/2019 -

Hi Michelle,
I am so happy to hear that you had a great returning experience! Our team members do the best they can to accommodate all of our guests needs and we are very glad to hear you were happy with the solution.
We hope to see you and your husband again!

Best,
Amber Peyghambari

Read less
","1/1/2019Updated review
 2 photos

What a wonderful way to start the year! This was my second time back to HIGH END SPA, and we had a great time. The crowds were very low (seriously, it felt like we had the place to ourselves most of the day.) We walked right into the mineral baths, club mud, and didn't wait in any kind of line for lunch. None of the pools were crowded, and we were even able to enjoy one of the hammocks in the secret garden.

Tiffany at the front check-in desk went above and beyond for us regarding the robes. I had requested a plus-sized robe, since after my last review I knew they had added some to their collection. Unfortunately, all of their plus-sized robes were still dirty from the day before. Tiffany was so accommodating, though! She was able to get us robes from the cabana area that fit me perfectly! It is so great to know that not only do they now offer guests of all sizes the option to enjoy a warm robe, but that they really want to make sure you have a good day. Thank you, Tiffany, for everything.

All of the staff today were in good spirits. The only thing that would have made today better would have been a massage. We'll have to book one next time. My husband and I are going to make HIGH END SPA our annual New Year's Day tradition!

Comment from Amber P. of HIGH END SPA Hot Springs

Business Customer Service

1/2/20191/15/2018-
Hi Michelle, HIGH END SPA is proud to welcome men and women of all shapes and sizes. In response to your day, we are now in the process of ordering a few XL robes so we can continue to have offerings for all of our guests.  I wanted to reach out to you to let you know we have sent you a private message as we would like to connect with you directly. Thank you again for communicating your concern with us.
Alexa Gallegos

1/2/2019 -

Hi Michelle,
I am so happy to hear that you had a great returning experience! Our team members do the best they can to accommodate all of our guests needs and we are very glad to hear you were happy with the solution.
We hope to see you and your husband again!

Best,
Amber Peyghambari

Read less
","High","high end massage retreat","Orange, CA",26,33,21,NA,"Michelle A.","2019-01-01",2,NA,"Sun",15,5,3,4,4,3,1,2,1,1,2,0,0.055,0.018,0.011,0.015,0.015,0.011,0.004,0.007,0.004,0.004,0.007,0,11,5,"5","5",1,"rating 5"
10,"mostRecentVisit_review","I'm so happy I found CHIROPRACTIC!

Brenda was so sweet and attentive, from making my appointment to greeting me upon arrival.

I saw Bertha for a prenatal massage, how I survived my first pregnancy without one, I'm clueless. Bertha listened to my needs and my bodies. She helped relieve tension in my neck and shoulders.

I could have fell asleep, only complaint would be - why aren't massages longer than an hour lol

I cannot wait to come back monthly through this pregnancy. I also am excited to try a prenatal adjustment","mostRecentVisit_rating",5,"no",NA,"11/29/2018
I'm so happy I found CHIROPRACTIC!

Brenda was so sweet and attentive, from making my appointment to greeting me upon arrival.

I saw Bertha for a prenatal massage, how I survived my first pregnancy without one, I'm clueless. Bertha listened to my needs and my bodies. She helped relieve tension in my neck and shoulders.

I could have fell asleep, only complaint would be - why aren't massages longer than an hour lol

I cannot wait to come back monthly through this pregnancy. I also am excited to try a prenatal adjustment","Avg","chiropractic","Fayetteville, NC",0,7,NA,NA,"Devin S.","2018-11-29",NA,NA,"Sun",0,3,1,1,0,0,1,0,0,0,0,0,0,0.028,0.009,0.009,0,0,0.009,0,0,0,0,0,8,5,"5","5",1,"rating 5"
100,"mostRecentVisit_review"," Their staff is super nice. The doctor is also great and always gets the knots out of my back. I felt better right after my first appointment!","mostRecentVisit_rating",5,"no",NA,"3/20/2018
 2 check-ins

Their staff is super nice. The doctor is also great and always gets the knots out of my back. I felt better right after my first appointment!","Avg","chiropractic","Corona, CA",943,7,2,NA,"Courtney S.","2018-03-20",NA,2,"Fri",2,1,0,0,0,0,0,0,0,0,0,0,0.069,0.034,0,0,0,0,0,0,0,0,0,0,5,5,"5","5",1,"rating 5"
101,"twoVisitsPrior_review","It's too bad, I had such a great time here and some bathroom attendant ruined my whole experience!! Just the worst manners and let's just say customer service was not her specialty or even close.
This young girl had some nerve to correct a customer for accidentally missing the trash with some paper from a cinco de mayo mustache.. (jokes) she chases after me to tell me to throw it in the trash I explained half way down the hall I was sorry and had to
LeAve, my friend was sick and need me to tend to her. She then chased me down again and started to harass me to tell her where my friend threw up. Really? Well, maybe she had a bad day.. but after explaining what happen to management and the front office,  Jose, the manager, didn't look too surprised.. I guess this is normal behavior for her.. needless to say I'm almost afraid to go back. I may not hold my tongue next time.. personal space was not In her vocabulary she tapped me on the shoulder, she's lucky i was in a great mood till then..
","lastVisit_rating",1,"yes"," Amber P. of HIGH END SPA Hot Springs

Business Customer Service

5/8/2018Hi Raven, thank you for taking the time to write a review of your recent visit. I am sorry to hear about your incident in the bath house at the end of your visit. I spoke with Jose and he mentioned you all were a pleasure to have and that after speaking with you about this occurrence, he internally addressed the issue so this wouldn't happen again. We take our guest comments very seriously because guest comments, good and bad, help us to learn and grow. A guest who makes the commitment to reach out and tell us what was not perfect is invaluable to our company. Always feel free to contact me regarding any of your visits or if you ever have any questions or comments.
Best regards, Alexa Gallegos, HIGH END SPA Hot Springs","5/7/2018Previous review
It's too bad, I had such a great time here and some bathroom attendant ruined my whole experience!! Just the worst manners and let's just say customer service was not her specialty or even close.
This young girl had some nerve to correct a customer for accidentally missing the trash with some paper from a cinco de mayo mustache.. (jokes) she chases after me to tell me to throw it in the trash I explained half way down the hall I was sorry and had to
LeAve, my friend was sick and need me to tend to her. She then chased me down again and started to harass me to tell her where my friend threw up. Really? Well, maybe she had a bad day.. but after explaining what happen to management and the front office,  Jose, the manager, didn't look too surprised.. I guess this is normal behavior for her.. needless to say I'm almost afraid to go back. I may not hold my tongue next time.. personal space was not In her vocabulary she tapped me on the shoulder, she's lucky i was in a great mood till then..
Comment from Amber P. of HIGH END SPA Hot Springs

Business Customer Service

5/8/2018Hi Raven, thank you for taking the time to write a review of your recent visit. I am sorry to hear about your incident in the bath house at the end of your visit. I spoke with Jose and he mentioned you all were a pleasure to have and that after speaking with you about this occurrence, he internally addressed the issue so this wouldn't happen again. We take our guest comments very seriously because guest comments, good and bad, help us to learn and grow. A guest who makes the commitment to reach out and tell us what was not perfect is invaluable to our company. Always feel free to contact me regarding any of your visits or if you ever have any questions or comments.
Best regards, Alexa Gallegos, HIGH END SPA Hot Springs","High","high end massage retreat","Rancho Cucamonga, CA",12,12,4,NA,"Raven H.","2018-05-07",NA,NA,"Sat",7,6,2,0,0,0,2,0,3,1,0,1,0.032,0.027,0.009,0,0,0,0.009,0,0.014,0.005,0,0.005,8,5,"5","5",0,"rating 1"
102,"mostRecentVisit_review"," Fabulous place to get adjusted. The office is calm and clean. The staff is friendly. Dr. Ramada is fantastic! He really understood the cause of my pain and was able to adjust me quickly. I love the availability and evening appointments. Highly recommend!","mostRecentVisit_rating",5,"no",NA,"8/30/2016
 1 check-in

Fabulous place to get adjusted. The office is calm and clean. The staff is friendly. Dr. Ramada is fantastic! He really understood the cause of my pain and was able to adjust me quickly. I love the availability and evening appointments. Highly recommend!","Avg","chiropractic","Los Angeles, CA",11,24,11,NA,"Monique O.","2016-08-30",NA,1,"Mon",4,3,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0,0,0,0,0,0,0,0,0,0,5,5,"5","5",1,"rating 5"
103,"mostRecentVisit_review"," I was looking for a Chiropractor in my area and I stumbled upon CHIROPRACTIC. It is a really awesome place. The staff and facilities are very nice. And they are very reasonably priced, much better price then my last Chiropractor. Conveniently located off of the 15 freeway two exits south of the 91. What is really cool is they also offer massages also. If you are looking for a Chiropractor in Corona/Riverside area look no further.","mostRecentVisit_rating",5,"no",NA,"2/26/2018
 27 check-ins

I was looking for a Chiropractor in my area and I stumbled upon CHIROPRACTIC. It is a really awesome place. The staff and facilities are very nice. And they are very reasonably priced, much better price then my last Chiropractor. Conveniently located off of the 15 freeway two exits south of the 91. What is really cool is they also offer massages also. If you are looking for a Chiropractor in Corona/Riverside area look no further.","Avg","chiropractic","Corona, CA",4,NA,NA,NA,"Matthew B.","2018-02-26",NA,27,"Thu",3,3,2,0,0,2,0,1,0,0,0,0,0.036,0.036,0.024,0,0,0.024,0,0.012,0,0,0,0,8,5,"5","5",1,"rating 5"
104,"mostRecentVisit_review","Very friendly and professional staff. My mom and I love receiving massages from our masseuse Shanta! She does great work and is very kind. Unlike other places we have tried, CHIROPRACTIC's massage therapists are very well trained in massaging areas in your body that you did not know needed work and massaging. The facility is clean, the atmosphere is relaxing and the prices are very reasonable. Thankful to have found CHIROPRACTIC.","mostRecentVisit_rating",5,"no",NA,"12/9/2017
Very friendly and professional staff. My mom and I love receiving massages from our masseuse Shanta! She does great work and is very kind. Unlike other places we have tried, CHIROPRACTIC's massage therapists are very well trained in massaging areas in your body that you did not know needed work and massaging. The facility is clean, the atmosphere is relaxing and the prices are very reasonable. Thankful to have found CHIROPRACTIC.","Avg","chiropractic","Corona, CA",244,5,NA,NA,"Desirae W.","2017-12-09",NA,NA,"Mon",3,5,0,2,1,0,0,1,1,0,0,0,0.038,0.063,0,0.025,0.013,0,0,0.013,0.013,0,0,0,7,5,"5","5",1,"rating 5"
105,"mostRecentVisit_review"," I had injured my back at the gym and I was down for two weeks.  I had been to Thai massage, acupuncture (different location) and Chiropractor. Nothing seemed to really help. Until I decided to try Dr. Scott Bahng. I was a little skeptical since my last acupuncturist didn't work and placed all the needles in my back and Dr. Bahng put them everywhere but there! All I can say is that same evening I went on a 4 mile walk and by my 2nd visit I was 100% better!!! I was so amazed that I carry his cards and hand out to everyone now haha. Thank you Dr. Bahng","mostRecentVisit_rating",5,"no",NA,"4/8/2016
 1 check-in

I had injured my back at the gym and I was down for two weeks.  I had been to Thai massage, acupuncture (different location) and Chiropractor. Nothing seemed to really help. Until I decided to try Dr. Scott Bahng. I was a little skeptical since my last acupuncturist didn't work and placed all the needles in my back and Dr. Bahng put them everywhere but there! All I can say is that same evening I went on a 4 mile walk and by my 2nd visit I was 100% better!!! I was so amazed that I carry his cards and hand out to everyone now haha. Thank you Dr. Bahng","Avg","chiropractic","Corona, CA",10,52,38,NA,"Angie D.","2016-04-08",NA,1,"Sun",2,6,1,0,2,0,0,1,0,1,0,0,0.016,0.048,0.008,0,0.016,0,0,0.008,0,0.008,0,0,7,5,"5","5",1,"rating 5"
106,"mostRecentVisit_review"," Almost 4 yrs of suffering and no dr could help me..
They kept saying its anxiety, but I knew something was off....

Finally!
Thank you DOCTOR!
I'm so happy that I found you!

DOCTOR and the entire staff are very helpful and friendly!!!

Vannesa M.
Jerome, ID
149 friends
66 reviews
112 photos","mostRecentVisit_rating",5,"no",NA,"3/17/2014
 1 check-in

Almost 4 yrs of suffering and no dr could help me..
They kept saying its anxiety, but I knew something was off....

Finally!
Thank you DOCTOR!
I'm so happy that I found you!

DOCTOR and the entire staff are very helpful and friendly!!!

Vannesa M.
Jerome, ID
149 friends
66 reviews
112 photos","Avg","chiropractic","Riverside, CA",14,35,5,NA,"Toni G.","2014-03-17",NA,1,"Tue",1,3,0,0,1,1,0,2,0,1,0,0,0.014,0.042,0,0,0.014,0.014,0,0.028,0,0.014,0,0,7,5,"5","5",1,"rating 5"
107,"mostRecentVisit_review","Using dr bahng for my fibromyalgia treatment I highly reccomend. Omg i am in shock an aww in my relief","mostRecentVisit_rating",5,"no",NA,"6/24/2016
Using dr bahng for my fibromyalgia treatment I highly reccomend. Omg i am in shock an aww in my relief","Avg","chiropractic","Jerome, ID",149,66,112,NA,"Vannesa M.","2016-06-24",NA,NA,"Tue",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,5,5,"5","5",1,"rating 5"
